RC107_125

25	125

VEHICLE
NUMBER     CAPACITY
  25         200

CLU NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
    0      40         50          0          0        240          0   
    1      25         85         20        125        191         10   
    2      22         75         30         32         97         10   
    3      22         85         10        101        146         10   
    4      20         80         40         71        193         10   
    5      20         85         20         40        113         10   
    6      18         75         20         55        164         10   
    7      15         75         20         69        118         10   
    8      15         80         10         56        155         10   
    9      10         35         20         51        160         10   
   10      10         40         30         90        177         10   
   11       8         40         40         33        152         10   
   12       8         45         20         49        108         10   
   13       5         35         10         62        191         10   
   14       5         45         10         35        117         10   
   15       2         40         20         39        161         10   
   16       0         40         20         59        114         10   
   17       0         45         20         60        189         10   
   18      44          5         20         79        124         10   
   19      42         10         40         58        115         10   
   20      42         15         10        111        162         10   
   21      40          5         10         52        111         10   
   22      40         15         40         55        158         10   
   23      38          5         30         45        164         10   
   24      38         15         10        128        194         10   
   25      35          5         20         54        184         10   
  
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME  CLUSTER
    0      28         82          2        125        253         10          1
    1      22         73         11         32        139         10          2
    2      26         86          6        101        386         10          3
    3      16         72          6         71        227         10          4
    4      13         83         10         40        427         10          5
    5      16         72         15         55        413         10          6
    6      18         72          5         69        263         10          7
    7      20         79          1         56        448         10          8
    8      10         38          4         51        305         10          9
    9       8         36         11         90        228         10         10
   10       9         39         10         33        273         10         11
   11       9         39          3         49        185         10         12
   12       3         34          5         62        181         10         13
   13       9         41          2         35        316         10         14
   14       0         43         16         39        349         10         15
   15       0         39          6         59        423         10         16
   16       4         45          4         60        311         10         17
   17      44          7          2         79        302         10         18
   18      39         10         13         58        425         10         19
   19      40         14          7        111        261         10         20
   20      33          4          2         52        324         10         21
   21      39         13          9         55        366         10         22
   22      34          0          3         45        320         10         23
   23      38         17          3        128        405         10         24
   24      30          4          9         54        400         10         25
   25       3         44          8         60        459         10         17
   26      -4         38          1         39        439         10         15
   27      39          5         16         45        394         10         23
   28      18         78          7         69        369         10          7
   29       1         35          1         62        384         10         13
   30      17         75          1         69        325         10          7
   31      37         14          2        128        492         10         24
   32       8         42          1         35        370         10         14
   33      44          8          4         58        470         10         19
   34      20         71          2         32        385         10          2
   35      41          1          9         79        453         10         18
   36      38         14          1        128        470         10         24
   37      26         86          2        101        280         10          3
   38      45          0          2         52        446         10         21
   39       2         42          4         59        423         10         16
   40      16         87          1        101        462         10          3
   41      40          1          1         52        299         10         21
   42      -4         45          3         60        436         10         17
   43      39         22          3        128        407         10         24
   44      -3         42          2         60        304         10         17
   45      39         19          2        111        439         10         20
   46       6         36         10         51        210         10          9
   47      -2         42          7         59        160         10         16
   48      33          8          1         54        344         10         25
   49      10         40          1         90        387         10         10
   50      14         79          1         56        322         10          8
   51      10         33          1         51        489         10          9
   52      40         17          1        111        553         10         20
   53       3         34          1         51        192         10          9
   54      16         70          1         69        315         10          7
   55      10         49          4         49        250         10         12
   56      42         16         15         55        456         10         22
   57      23         72          5         71        534         10          4
   58      15         72          1         69        192         10          7
   59      15         75          4         69        191         10          7
   60      41          7          3         52        464         10         21
   61      20         73         16         32        156         10          2
   62      12         40          2         51        355         10          9
   63      -2         44          1         60        178         10         17
   64       8         41         10         49        168         10         12
   65      34          5         10         54        433         10         25
   66      34          3          6         45        185         10         23
   67       0         40          1         39        453         10         15
   68       2         43          1         60        178         10         17
   69      42         18         11         55        496         10         22
   70       4         42          2         35        458         10         14
   71       0         41          1         59        416         10         16
   72      19         74          1         55        196         10          6
   73       8         45          1         49        449         10         12
   74      18         82         17         71        252         10          4
   75       7         42          1         35        416         10         14
   76       5         29          1         62        298         10         13
   77      20         77          3         71        464         10          4
   78       9         29          1         51        179         10          9
   79      25         74          1         32        208         10          2
   80      14         81          1         69        314         10          7
   81      13         49          1         49        266         10         12
   82      52          7          2         79        536         10         18
   83       2         40          2         39        372         10         15
   84      38          6          2         52        329         10         21
   85      19         84          1         71        457         10          4
   86      11         39         16         90        220         10         10
   87      21         89         17        125        379         10          1
   88      41          8          2         45        331         10         23
   89      20         77          2         71        370         10          4
   90      11         35          1         51        442         10          9
   91      41          9         18         58        306         10         19
   92      25         83          1        101        241         10          3
   93       9         43          1         90        192         10         10
   94       7         38         14         33        361         10         11
   95      23         85          1        125        529         10          1
   96      41         17          1        128        379         10         24
   97       9         47          5         33        368         10         11
   98       9         33          1         62        355         10         13
   99      17         78          6         40        322         10          5
  100      39         18          1         55        371         10         22
  101       5         35          1         62        428         10         13
  102      20         72          2         55        199         10          6
  103      -2         44          1         60        329         10         17
  104      36          2          1         45        184         10         23
  105      -1         39          1         59        202         10         16
  106      14         82          5         56        476         10          8
  107      -5         34          1         62        268         10         13
  108      21         84          6         71        357         10          4
  109      37         12          2         45        237         10         23
  110      15         75          1         55        230         10          6
  111      45          6          7         79        352         10         18
  112      42         19          4         55        331         10         22
  113      11         38          7         33        317         10         11
  114       5         43          2         35        243         10         14
  115       7         42          1         33        417         10         11
  116      21         78          1         55        362         10          6
  117      40         16          5         58        233         10         19
  118       2         45          2         35        397         10         14
  119       5         46          1         49        472         10         12
  120      10         40          1         90        362         10         10
  121       4         39          1         59        294         10         16
  122      15         83          4         40        413         10          5
  123       5         42          3         33        330         10         11
  124      10         81          3         56        459         10          8
