Instance;Size;Algorithm;Status;Objective Value;UB;Gap (%);Vehicles used;Delivery men used;First level distance;Second level distance;Time(s)
C101;10_40;CF;Optimal;5230.0;5230.0;0.0;3.0;7.0;130.0;230.0;10.06
C101;10_40;CF+VI's;Optimal;5230.0;5230.0;0.0;3.0;7.0;130.0;230.0;7.4
C101;10_40;BBC;Optimal;5230.0;5230.0;0.0;3.0;7.0;130.0;230.0;9.9
C101;15_60;CF;Optimal;7866.0;7866.0;0.0;4.0;10.0;254.0;326.0;21.87
C101;15_60;CF+VI's;Optimal;7866.0;7866.0;0.0;4.0;10.0;254.0;326.0;13.03
C101;15_60;BBC;Optimal;7866.0;7866.0;0.0;4.0;10.0;254.0;326.0;802.44
R105;10_40;CF;Optimal;9320.0;9320.0;0.0;5.0;10.0;314.0;180.0;30.32
R105;10_40;CF+VI's;Optimal;9320.0;9320.0;0.0;5.0;10.0;314.0;180.0;3.22
R105;10_40;BBC;Optimal;9320.0;9320.0;0.0;5.0;10.0;314.0;180.0;5.39
C103;10_40;CF;Feasible;3677.0;5010.0;86.4;2.0;5.0;95.0;227.0;7200.0
C103;10_40;CF+VI's;Feasible;3662.2;3670.0;0.85;2.0;5.0;94.0;230.0;7200.0
C103;10_40;BBC;Optimal;3670.0;3670.0;0.0;2.0;5.0;94.0;230.0;4295.51
C106;10_40;CF;Feasible;5146.0;4998.0;3.0;3.0;6.0;135.0;196.0;7238.09
C106;10_40;CF+VI's;Optimal;5146.0;5146.0;0.0;3.0;6.0;135.0;196.0;19.15
C106;10_40;BBC;Optimal;5146.0;5145.5;0.01;3.0;6.0;135.0;196.0;13.28
C107;10_40;CF;Feasible;3686.0;3616.0;1.9;2.0;5.0;95.0;236.0;7203.0
C107;10_40;CF+VI's;Optimal;3686.0;3686.0;0.0;2.0;5.0;95.0;236.0;477.6
C107;10_40;BBC;Optimal;3686.0;3686.0;0.0;2.0;5.0;95.0;236.0;96.46
R101;10_40;CF;Optimal;10704.0;10704.0;0.0;6.0;14.0;312.0;184.0;0.54
R101;10_40;CF+VI's;Optimal;10704.0;10704.0;0.0;6.0;14.0;312.0;184.0;0.43
R101;10_40;BBC;Optimal;10704.0;10704.0;0.0;6.0;14.0;312.0;184.0;2.69
R102;10_40;CF;Feasible;7884.0;5159.0;34.6;4.0;9.0;275.0;234.0;37335.14
R102;10_40;CF+VI's;Optimal;7884.0;7884.0;0.0;4.0;9.0;275.0;234.0;499.81
R102;10_40;BBC;Optimal;7884.0;7884.0;0.0;4.0;9.0;275.0;234.0;35.57
RC101;10_40;CF;Optimal;9847.0;9847.0;0.0;5.0;9.0;374.0;207.0;1548.16
RC101;10_40;CF+VI's;Optimal;9847.0;9847.0;0.0;5.0;9.0;374.0;207.0;19.91
RC101;10_40;BBC;Optimal;9847.0;9847.0;0.0;5.0;9.0;374.0;207.0;4.44
RC105;10_40;CF;Feasible;8041.0;4578.0;43.0;4.0;8.0;304.0;201.0;7231.58
RC105;10_40;CF+VI's;Optimal;8041.0;8041.0;0.0;4.0;8.0;304.0;201.0;141.03
RC105;10_40;BBC;Optimal;8041.0;8041.0;0.0;4.0;8.0;304.0;201.0;36.89
RC106;10_40;CF;Feasible;8016.0;6402.0;20.1;4.0;8.0;300.0;216.0;7202.61
RC106;10_40;CF+VI's;Feasible;8016.0;7802.0;26.7;4.0;8.0;300.0;216.0;7205.11
RC106;10_40;BBC;Optimal;8016.0;8016.0;0.0;4.0;8.0;300.0;216.0;74.18
C101;15_60;CF;Optimal;7866.0;7866.0;0.0;4.0;10.0;254.0;326.0;20.88
C101;15_60;CF+VI's;Optimal;7866.0;7866.0;0.0;4.0;10.0;254.0;326.0;12.72
C101;15_60;BBC;Optimal;7866.0;7866.0;0.0;4.0;10.0;254.0;326.0;785.76
